,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,University Of Southern Carolina,Speech,MS,F10,Rejected,Postal Service,"(15, 3, 2010)",1268636400,,,,,,,American,"(16, 3, 2010)",1268722800,
1,Claremont Graduate University,Political Science,PhD,F10,Accepted,E-mail,"(16, 3, 2010)",1268722800,,,,,,,International,"(16, 3, 2010)",1268722800,40% fellowship for Year One... have not yet decided to go.
2,University Of Massachusetts Amherst,Food Science,PhD,F10,Rejected,Postal Service,"(16, 3, 2010)",1268722800,,,,,,,International with US Degree,"(16, 3, 2010)",1268722800,No professor has funding to support me...
3,Texas A&M University,Economics,PhD,F10,Accepted,Website,"(10, 3, 2010)",1268208000,,,,,,,International,"(16, 3, 2010)",1268722800,No information on funding. Has anyone accepted got a word on funding?
4,"University Of Michigan, Ross School Of Business",Marketing (CB),PhD,F10,,E-mail,"(16, 3, 2010)",1268722800,,,,,,,,"(16, 3, 2010)",1268722800,"Direct email from rossphd@bus.umich.edu. No re-direct to admissions website. 500 applicants, rejected 95%."
5,"The State University Of New York, Stony Brook",Electrical and Computer Engineering (ECE),PhD,F10,,Other,"(16, 3, 2010)",1268722800,,,,,,,Other,"(16, 3, 2010)",1268722800,to the post below could you please share your statistics and which track you have applied.
6,University Of Chicago Harris School,Masters Of Public Policy,MS,F10,Accepted,E-mail,"(16, 3, 2010)",1268722800,,,,,,,International with US Degree,"(16, 3, 2010)",1268722800,congratulation email with offical acceptance letter as attachment to email. full tuition scholarship. stoked.
7,"University of Texas, Austin (UT Austin)",Computer Science,PhD,F10,Rejected,Website,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,
8,University Of Memphis,Speech - Language Pathology,MS,F10,,Other,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,"Still have not heard from Memphis...has anyone received a rejection letter from them yet? There have been so many ""Accepted"" posts on here, I am wondering if the class has already been decided. :-/"
9,"University Of Illinois, Urbana Champaign (UIUC)",Computer Sciecne,MS,F10,Rejected,E-mail,"(16, 3, 2010)",1268722800,,,,,,,International,"(16, 3, 2010)",1268722800,"To the next two floor: I think you should be happy, you got a date at least."
10,Hofstra University,Clinical Psychology,PhD,F10,Rejected,Postal Service,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,
11,Widener University,Clinical Psychology PsyD,Other,F10,Accepted,Postal Service,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,
12,"University Of California, Santa Babara (UCSB)",Electrical and Computer Engineering (ECE),MS,F10,Accepted,E-mail,"(16, 3, 2010)",1268722800,3.5,570.0,800.0,4.0,False,,International,"(16, 3, 2010)",1268722800,email directing to the website status check...
13,Fordham University,Social Work,MS,F10,Rejected,Postal Service,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,:(
14,George Washington University,Political Science,PhD,F10,Accepted,E-mail,"(16, 3, 2010)",1268722800,,,,,,,International,"(16, 3, 2010)",1268722800,15 out of 400 applicants this year... Admission without funding seems very undesirable....
15,"Columbia University, GSAPP",MSAAD,MS,S10,,Other,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,I have not heard anything yet. Good thing or bad thing?
16,Ohio State University (OSU),Anthropology (Biological),MS,F10,Rejected,Website,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,"lol, don't care.  i was accepted to my first choice.  good luck to those who were accepted. :)"
17,Georgetown University School Of Foreign Service (SFS),MSFS,MS,F10,Accepted,E-mail,"(15, 3, 2010)",1268636400,,,,,,,International with US Degree,"(16, 3, 2010)",1268722800,totally unexpected email at 8pm!
18,"University Of California, Santa Babara (UCSB)",Electrical Engineering,MS,F10,Accepted,Website,"(16, 3, 2010)",1268722800,,,,,,,International with US Degree,"(16, 3, 2010)",1268722800,"No email, check website"
19,"University Of California, Berkeley (UCB)",Architecture (M. Arch),MS,F10,Accepted,E-mail,"(16, 3, 2010)",1268722800,,,,,,,,"(16, 3, 2010)",1268722800,
20,Georgetown University School Of Foreign Service (SFS),MSFS,MS,S10,Accepted,E-mail,"(15, 3, 2010)",1268636400,,,,,,,American,"(16, 3, 2010)",1268722800,Received email at 7:15 pm CST; hardcopy letter to follow. My mind absolutely asploded-- was not definitely not expecting this! Cannot compute.
21,University Of Utah,Architecture (M. Arch),MS,F10,Accepted,Phone,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,Prescott Muir called me to give me the news.
22,University Of Pennsylvania (UPenn),Mathematics,PhD,F10,Rejected,Website,"(16, 3, 2010)",1268722800,,,,,,,International,"(16, 3, 2010)",1268722800,Got an email saying that decision has been made. Checked the website.
23,"University Of California, Berkeley (UCB)",Architecture,MS,F10,Rejected,E-mail,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,Came with a hefty scholarship! A dream come true.
24,USC,Architecture (M. Arch),MS,F10,Accepted,E-mail,"(16, 3, 2010)",1268722800,,,,,,,,"(16, 3, 2010)",1268722800,
25,"University Of California, San Diego (UCSD)",Computer Science,PhD,F10,Accepted,E-mail,"(15, 3, 2010)",1268636400,,,,,,,American,"(16, 3, 2010)",1268722800,
26,University Of Southern California (USC),Architecture (M. Arch),MS,,Accepted,E-mail,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,I can finally stop going insane from waiting! It was my first choice.
27,Purdue University,Mechanical Engineering,PhD,F10,Accepted,E-mail,"(16, 3, 2010)",1268722800,,,,,,,International,"(16, 3, 2010)",1268722800,So long I waited to write this :P. Accepted to Purdue with TA. Got an email from my PI of interest. Official offer to be sent soon.
28,University Of Arizona,Applied Math,PhD,F10,Rejected,E-mail,"(16, 3, 2010)",1268722800,,,,,,,International,"(16, 3, 2010)",1268722800,"well, alright..."
29,University Of Utah,Architecture (M. Arch),MS,F10,Accepted,Phone,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,Got a phone call from the director
30,University Of Pennsylvania (UPenn),Mathematics,PhD,F10,Rejected,Website,"(15, 3, 2010)",1268636400,,,,,,,American,"(16, 3, 2010)",1268722800,
31,"University Of Maryland, College Park",Master In Public Policy,MS,F10,Accepted,Postal Service,"(15, 3, 2010)",1268636400,,,,,,,American,"(16, 3, 2010)",1268722800,
32,American University,Sustainable Development,MS,F10,Accepted,Postal Service,"(15, 3, 2010)",1268636400,,,,,,,American,"(16, 3, 2010)",1268722800,acceptance letter with scholarship information
33,"University of Texas, Austin (UT Austin)",Computer Science,PhD,F10,,Other,"(16, 3, 2010)",1268722800,,,,,,,International,"(16, 3, 2010)",1268722800,"Me too, Mine has not changed yet. Is it good news or bad?"
34,"University of Texas, Austin (UT Austin)",Computer Science,PhD,F10,Rejected,Website,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,
35,University Of Toronto,Linguistics,MS,F10,Wait listed,E-mail,"(15, 3, 2010)",1268636400,,,,,,,International with US Degree,"(16, 3, 2010)",1268722800,"Okay, so it means more waiting...but I'm happy for now!"
36,New York University (NYU),Middle Eastern And Islamic Studies,PhD,F10,Rejected,E-mail,"(16, 3, 2010)",1268722800,3.9,600.0,640.0,5.0,False,,American,"(16, 3, 2010)",1268722800,Second year applying :(
37,Rutgers University-Newark,Global Affairs,PhD,F10,Accepted,Website,"(16, 3, 2010)",1268722800,,,,,,,,"(16, 3, 2010)",1268722800,Yoo Hoo!!!!!!!!!!!
38,University Of Chicago,Near Eastern Languages And Civilization,PhD,F10,Rejected,Postal Service,"(16, 3, 2010)",1268722800,3.9,600.0,640.0,5.0,False,,American,"(16, 3, 2010)",1268722800,Offered admission into their cash cow MAPH program...no thanks.
39,"University Of Illinois, Urbana Champaign (UIUC)",Computer Science,PhD,F10,Rejected,E-mail,"(16, 3, 2010)",1268722800,,,,,,,International,"(16, 3, 2010)",1268722800,
40,Northwestern University,Journalism,MS,F10,Accepted,Website,"(16, 3, 2010)",1268722800,,,,,,,International,"(16, 3, 2010)",1268722800,Did anyone hear about financial aids?
41,Harvard University,Government Political Science,PhD,F10,Rejected,E-mail,"(16, 3, 2010)",1268722800,,730.0,760.0,5.0,False,,International,"(16, 3, 2010)",1268722800,"E-mail Thom, got answer almost instantly."
42,University Of Pittsburgh,Communication Disorders / Speech-Language Pathology,MS,F10,Wait listed,E-mail,"(11, 3, 2010)",1268294400,,,,,,,American,"(16, 3, 2010)",1268722800,
43,University Of North Texas,Creative Writing (fiction),PhD,F10,Rejected,Postal Service,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,Heartache.
44,Pennsylvania State University (PSU),Communication Disorders / Speech-Language Pathology,MS,F10,Accepted,Postal Service,"(4, 3, 2010)",1267689600,,,,,,,American,"(16, 3, 2010)",1268722800,
45,New York University (NYU),English Literature,PhD,F10,Rejected,E-mail,"(16, 3, 2010)",1268722800,4.0,800.0,550.0,5.0,False,550.0,American,"(16, 3, 2010)",1268722800,"In case it helps, 800 on verbal, 4.0 MA GPA, 5.0 writing. Looks like there is more to NYU than just scores :)"
46,Florida State University,Communication Sciences And Disorders,MS,F10,Accepted,Postal Service,"(13, 3, 2010)",1268467200,3.75,500.0,550.0,5.0,False,,American,"(16, 3, 2010)",1268722800,
47,Washington University in St. Louis (WashU/WUSTL),Mathematics,PhD,F10,,E-mail,"(15, 3, 2010)",1268636400,3.68,380.0,800.0,3.0,False,860.0,International,"(16, 3, 2010)",1268722800,"""Applicants who are accepted into our Ph.D. program at Washington University
in St. Louis would have received a letter at the end of February 2010.
Decline letters are sent in late April 2010."" I received above after I sent e-mail asking application status."
48,New York University (NYU),English,PhD,F10,Rejected,E-mail,"(15, 3, 2010)",1268636400,,,,,,,American,"(16, 3, 2010)",1268722800,
49,"University Of North Carolina, Chapel Hill (UNC)",Mathematics,PhD,F10,Rejected,E-mail,"(16, 3, 2010)",1268722800,,,,,,,International,"(16, 3, 2010)",1268722800,"In response to an email to dgs, Currently we made offers, and also a wait-list. Your name is on neither."
50,New York University (NYU),English,PhD,F10,Rejected,E-mail,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,
51,George Washington University,Speech - Language Pathology/ Communication Sciences,MS,F10,Accepted,Website,"(15, 2, 2010)",1266220800,,,,,,,American,"(16, 3, 2010)",1268722800,
52,University Of North Carolina Greensboro,English (Composition & Rhetoric),PhD,F10,Accepted,Postal Service,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,Can someone start a UNCG post? The Graduate School letter was annoyingly vague.
53,Uni Of Michigan,Marketing,PhD,F10,,Other,"(16, 3, 2010)",1268722800,,,,,,,Other,"(16, 3, 2010)",1268722800,"To the U. of Michigan poster, how did you know your application status? Thanks"
54,Penn State Univ.(PSU),Information Science And Technology,PhD,F10,Accepted,E-mail,"(15, 3, 2010)",1268636400,,,,,,,,"(16, 3, 2010)",1268722800,
55,"University Of Washington, Seattle",Comparative Literature,PhD,F10,Rejected,Postal Service,"(16, 3, 2010)",1268722800,,,,,,,International with US Degree,"(16, 3, 2010)",1268722800,mail dated 3/3. how awful
56,"University of Texas, Austin (UT Austin)",Computer Science (CS),PhD,F10,,Other,"(16, 3, 2010)",1268722800,,,,,,,International with US Degree,"(16, 3, 2010)",1268722800,"WTH, my status has not been changed so far? anyone else is the same?jesus"
57,New York University GSAS (NYU),Near Eastern Studies,MS,F10,Rejected,E-mail,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,"I knew it. Yet, it still hurt."
58,Stanford University,MA East Asian Studies,MS,F10,Accepted,E-mail,"(16, 3, 2010)",1268722800,,,,,,,International,"(16, 3, 2010)",1268722800,No funding though... I'm going to Yale!
59,"University Of Chicago, Harris School",Public Policy,MS,F10,Accepted,E-mail,"(15, 3, 2010)",1268636400,,,,,,,American,"(16, 3, 2010)",1268722800,with a full fellowship + $10K
60,McGill University,Communication Disorders / Speech-Language Pathology,MS,F10,Rejected,E-mail,"(16, 3, 2010)",1268722800,,,,,,,International,"(16, 3, 2010)",1268722800,"Wasn't expecting a result so soon, considering Canada tends to send responses in April.  Good luck to anyone else who applied!"
61,New York University (NYU),Anthropology (cultural),PhD,F10,Rejected,E-mail,"(16, 3, 2010)",1268722800,,,,,,,International with US Degree,"(16, 3, 2010)",1268722800,
62,University Of Pittsburgh,Philosophy,PhD,F10,Rejected,E-mail,"(16, 3, 2010)",1268722800,,,,,,,,"(16, 3, 2010)",1268722800,Response to inquiry.
63,"University Of North Carolina, Chapel Hill (UNC)",Master Of Public Administration (MPA),MS,F10,Accepted,Postal Service,"(15, 3, 2010)",1268636400,,,,,,,American,"(16, 3, 2010)",1268722800,
64,Univ. Of Arizona,Applied Mathematics,PhD,F10,Rejected,Website,"(16, 3, 2010)",1268722800,,,,,,,International,"(16, 3, 2010)",1268722800,"No email, rejected from website."
65,Wake Forest University,Education - MAT Mathematics,MS,F10,Accepted,Phone,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,"Received a call from Dr. McCoy, program director.  Partial scholarship - will require me to pay $5k.  So excited!!!"
66,"University Of Texas, Austin - LBJ School",Global Policy Studies,MS,F10,Wait listed,E-mail,"(16, 3, 2010)",1268722800,,,,,,,American,"(16, 3, 2010)",1268722800,
67,Univerisyt Of Toronto,Criminology,MS,F10,Accepted,E-mail,"(16, 3, 2010)",1268722800,,,,,,,International,"(16, 3, 2010)",1268722800,Email from full-time faculty member with similar research interests. Thrilled! Waiting for official package for more details.
68,"University Of California, Santa Barbara (UCSB)",Communication,MS,F10,Rejected,Website,"(16, 3, 2010)",1268722800,,,,,,,International with US Degree,"(16, 3, 2010)",1268722800,"whatever, i already got what i wanted. :)"
