,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,"University Of California, Berkeley (UCB)",Energy And Resources Group,MS,F11,Accepted,Phone,"(7, 2, 2011)",1297065600,,650.0,760.0,3.5,False,,International,"(8, 2, 2011)",1297152000,
1,Purdue University (west Lafayette),Psychology,PhD,F11,Rejected,E-mail,"(24, 1, 2011)",1295856000,,,,,,,International with US Degree,"(8, 2, 2011)",1297152000,
2,University Of Minnesota Twin Cities,Communication Disorders / Speech-Language Pathology,PhD,F11,Rejected,E-mail,"(8, 2, 2011)",1297152000,,,,,,,International with US Degree,"(8, 2, 2011)",1297152000,
3,Ohio State University (OSU),Electrical Engineering,PhD,F11,Accepted,E-mail,"(4, 2, 2011)",1296806400,,,,,,,International,"(8, 2, 2011)",1297152000,Have anyone heard from OSU about funding? They did not mention anything about funding in that email.
4,University Of Louisville,English (Composition & Rhetoric),PhD,F11,Rejected,Postal Service,"(5, 2, 2011)",1296892800,,,,,,,American,"(8, 2, 2011)",1297152000,Was sent a very rude two sentence letter notifying rejection.  Luckily this is my last choice so it doesn't matter too much.
5,University Of Chicago,Cinema And Media Studies,PhD,F11,Accepted,E-mail,"(8, 2, 2011)",1297152000,3.43,770.0,780.0,5.5,False,,American,"(8, 2, 2011)",1297152000,"Unofficial, personalized email from POI which mentioned that the department is recommending me and 4 others for admission."
6,Indiana University-Bloomington,Social Psychology,PhD,F11,Interview,E-mail,"(31, 1, 2011)",1296460800,,,,,,,American,"(8, 2, 2011)",1297152000,"Sorry, I made this post just below but got the notification date wrong. I was notified on 1/31, not 2/8."
7,University Of Illinois - Urbana Champaign,Social Psychology,PhD,F11,Interview,Phone,"(7, 2, 2011)",1297065600,3.8,690.0,800.0,4.5,False,,American,"(8, 2, 2011)",1297152000,Surprise call from POI saying that I'm on their short list. The call went like a mini-interview and she said I'd hear from her again later this week.
8,"University Of California, San Diego (UCSD)",Bioengineering,PhD,F11,Rejected,E-mail,"(8, 2, 2011)",1297152000,3.9,590.0,780.0,4.5,False,,American,"(8, 2, 2011)",1297152000,
9,Indiana University-Bloomington,Social Psychology,PhD,F11,Interview,E-mail,"(8, 2, 2011)",1297152000,3.8,690.0,800.0,4.5,False,,American,"(8, 2, 2011)",1297152000,"POIs came to say hello at the SPSP conference a couple days earlier to let me know that they are ""very interested"" in my application"
