,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,University Of Arizona,English,PhD,F10,Rejected,Website,"(6, 4, 2010)",1270537200,3.6,690.0,720.0,5.5,False,620.0,American,"(6, 4, 2010)",1270537200,Logged in to check status.
1,Washington University in St. Louis (WashU/WUSTL),Economics,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,tm: ilikefreefood
2,Bloomsburg University Of PA,Speech - Language Pathology/ Communication Sciences,MS,F10,Accepted,E-mail,"(6, 4, 2010)",1270537200,3.37,460.0,590.0,,False,,American,"(6, 4, 2010)",1270537200,Just got accepeted off the waitlist!! Didn't think this would happen.. now I have one heck of a tough decision:/
3,Washington University in St. Louis (WashU/WUSTL),Economics,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,
4,University Of Pants,Mathematics,PhD,S10,Accepted,Postal Service,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,did an advanced summer course in university of pants. Took a reco from one of the profs there. The grad director is very pleased with my application....offered 19.2k and two baseball bats.
5,"University Of California, Los Angeles (UCLA)",Pure Math,PhD,F10,Accepted,E-mail,"(5, 4, 2010)",1270450800,,,,,,,American,"(6, 4, 2010)",1270537200,"to the UCLA post below, sure. Subject Alg/Number theory. Math GPA 4.0; Overall 3.95; paper accepted for publication in non archimedean geometry; one REU; one summer learning program in advanced subject at UCLA; Phi Beta Kappa; tons of grad courses; letter of rec from Prof. at UCLA; NSF GRFP; Big public university, not highly ranked in math. GRE Subject score was low. 5 presentations one at a national conference."
6,USC,American Studies & Ethnicity,PhD,F10,,E-mail,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,I got the same financial aid email... and I was rejected from USC way back in January. My guess is that they sent it to every applicant regardless of admissions status.
7,University Of Southern California (USC),Physics,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,"""Thanks for your inquiry regarding the status of your application, we do not anticipate making any further offers before the April 15th deadline, you should consider other offers."" after an inquiry."
8,University Of Arizona,Speech Language Pathology,MS,F10,,E-mail,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,Just notified that I was given a Graduate Research Assistantship that would cover out-of-state tuition and 50% of in-state tuition.  wowowow I don't think I can pass that up...
9,University Of Missouri-Columbia,English (Creative Writing),PhD,F10,Rejected,Postal Service,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,rejected off waitlist
10,"Long Island University, CW Post",Communication Disorders / Speech-Language Pathology,MS,F10,Accepted,E-mail,"(29, 3, 2010)",1269846000,3.6,530.0,590.0,4.0,False,,American,"(6, 4, 2010)",1270537200,
11,University Of Toronto,Speech-Language Pathology,MS,F10,Rejected,Postal Service,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,
12,Rutgers University - New Brunswick,Political Science,PhD,F10,Rejected,Website,"(31, 3, 2010)",1270018800,3.34,700.0,620.0,6.0,False,,American,"(6, 4, 2010)",1270537200,"Never received a letter, finally emailed the program. Received no response but website was coincidentally updated the next day to reflect rejection."
13,New York University (NYU) - Steinhardt,Communication Disorders / Speech-Language Pathology,MS,F10,Accepted,Postal Service,"(29, 3, 2010)",1269846000,3.6,530.0,590.0,4.0,False,,American,"(6, 4, 2010)",1270537200,
14,Temple University,Speech Pathology,MS,F10,Accepted,E-mail,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,Will be rejecting this offer. Hope it helps someone.
15,Johns Hopkins University (JHU),Anthropology,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,
16,Johns Hopkins University (JHU),Anthropology,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,,"(6, 4, 2010)",1270537200,
17,University Of Arizona,Civil And Environmental Engineering (Environmental),PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International with US Degree,"(6, 4, 2010)",1270537200,
18,Oregon State University(OSU),Electrical Engineering,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,
19,Washington University in St. Louis (WashU/WUSTL),Economics,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,590.0,800.0,4.0,False,,International,"(6, 4, 2010)",1270537200,TM heteroskedastic
20,North Carolina State University (NCSU),Computer Science,MS,F10,Accepted,Website,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,No funds mentionend
21,Washington University in St. Louis (WashU/WUSTL),Economics,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,Accepted fewer than 40 out of 450 applicants.
22,University Of Chicago,Ecology And Evolutionary Biology,PhD,F10,Accepted,E-mail,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,"my top choice! off the wait-list, i'm so relieved!"
23,Northwestern University,Speech Language Pathology,MS,F10,,E-mail,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,Emailed department.  Responded saying hopefully a decision will be made within one week?!?!  Cutting it kind of close...
24,New York University (NYU),Biology,PhD,F10,Accepted,E-mail,"(2, 4, 2010)",1270191600,,,,,,,American,"(6, 4, 2010)",1270537200,thank goodness! off the wait-list
25,Pennsylvania State University (PSU),Mechanical And Nuclear Engineering,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,
26,Pennsylvania State University (PSU),Mechanical And Nuclear Engineering,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,
27,Syracuse University - Maxwell School,Interdisciplinary Social Science,PhD,F10,Rejected,Postal Service,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,
28,Kent State University,Biological Anthropology,PhD,F10,Rejected,Postal Service,"(5, 4, 2010)",1270450800,,,,,,,American,"(6, 4, 2010)",1270537200,
29,Columbia University,Earth And Environmental Sciences,PhD,F10,Rejected,Phone,"(6, 4, 2010)",1270537200,,,,,,,International with US Degree,"(6, 4, 2010)",1270537200,
30,The University Of Oregon,Physics,PhD,F10,Rejected,Postal Service,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,Letter dated 23 february and posted 29 march. Sad..
31,New York University (NYU),Computer Science,MS,F10,Accepted,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,Great location. At the heart of Manhattan..
32,"University Of California, San Diego (UCSD)",Civil & Environmental Engineering,PhD,F10,Wait listed,E-mail,"(6, 4, 2010)",1270537200,,660.0,760.0,4.5,False,,International,"(6, 4, 2010)",1270537200,
33,University Of Southern California (USC),Computer Science,PhD,F10,,E-mail,"(5, 4, 2010)",1270450800,,740.0,800.0,5.0,False,830.0,American,"(6, 4, 2010)",1270537200,"Received an email about not forgetting financial aid deadlines, yet I haven't been accepted or rejected yet."
34,Oregon State University,ECE(Electrical And Computer Engineering),PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International with US Degree,"(6, 4, 2010)",1270537200,2 rejection in 1 day :(.
35,University Of Florida (Gainesville),Computer Science (CS),MS,F10,Accepted,E-mail,"(4, 4, 2010)",1270364400,3.0,570.0,800.0,3.0,False,,International,"(6, 4, 2010)",1270537200,Sent packets on jan 15th. Got admit on 4th.
36,University Of North Carolina (UNC) Charlotte,IT,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International with US Degree,"(6, 4, 2010)",1270537200,"Unfortunately, we will not be admitting new students this fall, due to capacity, and financial issues. --It is funny"
37,Duke University,Electrical And Computer Engineering,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,
38,Duke University University,ECE(Electrical And Computer Engineering),PhD,F10,Rejected,Website,"(6, 4, 2010)",1270537200,,,,,,,International with US Degree,"(6, 4, 2010)",1270537200,My first choice.
39,"University Of California, Riverside (UCR)",Applied Physics,PhD,F10,Rejected,E-mail,"(3, 4, 2010)",1270278000,,,,,,,International,"(6, 4, 2010)",1270537200,In response to my inquiry.
40,"University Of British Columbia,UBC",Electrical and Computer Engineering (ECE),MS,F10,,Website,"(7, 4, 2010)",1270623600,,,,,,,International,"(6, 4, 2010)",1270537200,My status says 'circulating'. :-S
41,University Of British Columbia (UBC),Computer Science,MS,F10,,E-mail,"(7, 4, 2010)",1270623600,,,,,,,International,"(6, 4, 2010)",1270537200,I don't think they update status on their site.Getting impatient now!For God sake say yes or no UBC!
42,Duke University,ECE Electrical,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,
43,"Carnegie Mellon University (CMU), Heinz School",Public Policy,MS,F10,Rejected,Website,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,I was born for their program... :(
44,University Of British Columbia (UBC) Sauder School Of Business,Management Information Systems,PhD,F10,Rejected,Postal Service,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,
45,"University Of California, Berkeley (UCB)",ESPM (Environmental Science,PhD,F10,Rejected,Website,"(5, 4, 2010)",1270450800,,,,,,,American,"(6, 4, 2010)",1270537200,"After a loooooong delay, it was bad news."
46,Cornell University,Computer Science,MS,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,"I got into Stanford and got rejected from here :(

Hurts my ego :|"
47,Duke University,Computer Science,MS,F10,Rejected,Website,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,fu**~~
48,University Of Pennsylvania,Economics,PhD,F10,Rejected,Website,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,
49,"University Of Missouri, Columbia",Mathematics,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,Anyway got other offers from much better schools. Funny how can you get rejected from mediocre schools and accepted to top ones.
50,University Of Maryland (College Park),Linguistics,PhD,F10,Accepted,E-mail,"(6, 4, 2010)",1270537200,3.74,500.0,730.0,5.0,False,,American,"(6, 4, 2010)",1270537200,Admitted off wait list.
51,Duke University,Statistics,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,"I had originally been waitlisted, but got email from DGS saying they didn't make it to the waitlist this year. Formal email to follow."
52,"University Of Michigan, Ann Arbor",Chemical Engineering,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International with US Degree,"(6, 4, 2010)",1270537200,"I was on the waitlist. The department informed me today that they are not offering more admission offers. Final tally: 5 rejects/2 admits, which happened to be my number 1 and 2!"
53,Bucknell University,English Literature,MS,F10,Accepted,E-mail,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,Got in off the wait list.  Tuition waver + stipend.
54,University Of Pennsylvania (UPenn),Physics,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,In response to my enquiry from last week
55,New Mexico State University,Mathematics,MS,F10,Accepted,E-mail,"(6, 4, 2010)",1270537200,3.65,720.0,780.0,5.5,False,,American,"(6, 4, 2010)",1270537200,"I sent an email; they responded.  Grad school will send out official notifications ""soon.""  No mention of funding.  (3.65 GPA / 3.9 Math.  780Q/720V/5.5AW.  BS from mediocre school.  Non-trad student.)"
56,Cornell University,Computer Science,MS,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International with US Degree,"(6, 4, 2010)",1270537200,
57,Cooper Union,Architecture (M.Arch.II),MS,F10,Wait listed,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,
58,Carnegie Mellon University (CMU) - Information Networking Institute,Computer Science,MS,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,
59,University Of Toronto,Communication Disorders / Speech-Language Pathology,MS,F10,Rejected,Postal Service,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,
60,Northeastern University,English (Composition & Rhetoric),MS,F10,Rejected,Website,"(6, 4, 2010)",1270537200,,,,,,,,"(6, 4, 2010)",1270537200,emailed to check website.  NBD.  got a great offer elsewhere.
61,Pennsylvania State University ( Penn Stat ),Mechanical Engineering,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,
62,Iowa State University,Social Psychology,PhD,F10,Rejected,Postal Service,"(6, 4, 2010)",1270537200,3.71,520.0,710.0,5.0,False,660.0,American,"(6, 4, 2010)",1270537200,
63,Villanova University,English,MS,F10,Wait listed,E-mail,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,Does anyone know when they'll make the wait-list decisions? Thanks.
64,"University Of Texas, Austin (UT Austin)",Computational Science,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,
65,"University Of California, San Diego (UCSD)",Mechanical Engineering,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,
66,Rutgers University - New Brunswick,Sociology,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,e-mailed the department secretary
67,"University Of Colorado, Boulder",Archaeology,PhD,F10,Rejected,Postal Service,"(20, 2, 2010)",1266652800,,,,,,,International,"(6, 4, 2010)",1270537200,
68,"University Of California, Los Angeles (UCLA)",Geology,PhD,F10,Rejected,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,
69,Loyola University Maryland,Speech Pahtology,MS,F10,Wait listed,Postal Service,"(5, 4, 2010)",1270450800,,,,,,,American,"(6, 4, 2010)",1270537200,
70,"University Of Massachusetts, Amherst (UMass)",Hispanic Linguistics,MS,F10,Accepted,E-mail,"(6, 4, 2010)",1270537200,,,,,,,International,"(6, 4, 2010)",1270537200,"I was told yesterday that I was not admitted, but I just received an e-mail saying that there was a mistake and that I AM admitted, and in the waitlist for TAship."
71,Ohio University,English (Composition And Rhetoric),MS,F10,Rejected,Phone,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,"Called to ensure they got some application materials other schools have been missing, and they informed me that they rejected me not because of the missing app materials.  Good luck to everyone else."
72,Boston University,English,MS,F10,Rejected,Postal Service,"(6, 4, 2010)",1270537200,,,,,,,American,"(6, 4, 2010)",1270537200,Dated 3/27/10.
73,Stanford University,East Asian Studies,MS,F10,Accepted,E-mail,"(15, 3, 2010)",1268636400,,,,,,,International with US Degree,"(6, 4, 2010)",1270537200,
74,Cornell University,Asian Studies (East Asia),MS,F10,Accepted,E-mail,"(31, 3, 2010)",1270018800,,,,,,,International with US Degree,"(6, 4, 2010)",1270537200,
