,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,"University Of Wisconsin, Madison",Accounting,PhD,F11,Rejected,E-mail,"(5, 2, 2011)",1296892800,,,,,,,American,"(5, 2, 2011)",1296892800,emailed to ask status & recd email back
1,"University Of Illinois, Urbana Champaign (UIUC)",Civil And Environmental Engineering,MS,F11,Interview,E-mail,"(31, 1, 2011)",1296460800,,,,,,,American,"(5, 2, 2011)",1296892800,Recruiting Weekend Invitation
2,Indiana University At Bloomington,Sociology,PhD,F11,Wait listed,E-mail,"(5, 2, 2011)",1296892800,3.5,720.0,750.0,5.0,False,,American,"(5, 2, 2011)",1296892800,
3,Duke University,Government/Political Science (American),PhD,F11,Accepted,E-mail,"(5, 2, 2011)",1296892800,,,,,,,American,"(5, 2, 2011)",1296892800,Accepted students weekend is March 20-22! First choice. Very excited.
4,Pennsylvania State University (Penn State),Government/Political Science (American),PhD,F11,Accepted,Phone,"(4, 2, 2011)",1296806400,,,,,,,American,"(5, 2, 2011)",1296892800,Same as below
5,Pennsylvania State University (Penn State),French And Francophone Studies,PhD,F11,Interview,Phone,"(3, 2, 2011)",1296720000,,,,,,,American,"(5, 2, 2011)",1296892800,Second interview (via Skype) scheduled with PhD admissions committee after first phone interview with graduate chair.
6,Wayne State University,Clinical Psychology,PhD,F11,Interview,E-mail,"(4, 2, 2011)",1296806400,,,,,,,American,"(5, 2, 2011)",1296892800,"Interview for March 4.  Invited about 35 students, plan to take about 9"
7,Ohio State University (OSU),Womens,PhD,F11,Accepted,Phone,"(3, 2, 2011)",1296720000,,,,,,,American,"(5, 2, 2011)",1296892800,
8,Northwestern University,Industrial Engineering And Management Sciences,PhD,F11,Rejected,E-mail,"(4, 2, 2011)",1296806400,,,,,,,International with US Degree,"(5, 2, 2011)",1296892800,
9,University Of North Carolina School Of Government,Public Administration,MS,F11,Interview,Phone,"(29, 1, 2011)",1296288000,3.18,660.0,780.0,5.0,False,,International,"(5, 2, 2011)",1296892800,"Three years relevant work experience; graduated from int'l university, please ignore my previous claims to ""American"" degrees!"
10,George Washington University,Public Policy: Social/Urban,MS,F11,Accepted,Postal Service,"(28, 1, 2011)",1296201600,3.18,660.0,780.0,5.0,False,,American,"(5, 2, 2011)",1296892800,Three years relevant work experience
11,University Of Pittsburgh,English,PhD,F11,Accepted,E-mail,"(5, 2, 2011)",1296892800,,,,,,,American,"(5, 2, 2011)",1296892800,Nominated for fellowship.
12,American University School Of Public Affairs (SPA),Public Policy: Social/Urban,MS,F11,Accepted,E-mail,"(20, 1, 2011)",1295510400,3.18,600.0,780.0,5.0,False,,American,"(5, 2, 2011)",1296892800,Three years relevant work experience
13,"University Of California, Davis (UCD)",English,PhD,F11,Accepted,Phone,"(5, 2, 2011)",1296892800,,,,,,,American,"(5, 2, 2011)",1296892800,"I haven't called back yet, but in the message they mentioned funding.  Hallelujah!"
14,Sam Houston State University,Clinical Psychology,PhD,F11,Rejected,Postal Service,"(5, 2, 2011)",1296892800,,,,,,,American,"(5, 2, 2011)",1296892800,
15,Tennessee State University,Counseling Psych,PhD,F11,Interview,Phone,"(28, 1, 2011)",1296201600,,,,,,,American,"(5, 2, 2011)",1296892800,
16,University Of Memphis,Counseling Psych,PhD,F11,Interview,Postal Service,"(1, 2, 2011)",1296547200,,,,,,,American,"(5, 2, 2011)",1296892800,
17,University Of Rochester,Social Psychology,PhD,F11,Interview,E-mail,"(5, 2, 2011)",1296892800,,,,,,,International,"(5, 2, 2011)",1296892800,
18,University Of Maryland (College Park),English,PhD,F11,Accepted,Phone,"(4, 2, 2011)",1296806400,3.9,700.0,680.0,5.5,False,670.0,American,"(5, 2, 2011)",1296892800,
