,greV,greQ,greA,cgpa,univName
14,150.0,166.0,3.0,4.0,Ohio State University
17,157.0,151.0,5.5,3.57,Texas A&M University
46,155.0,167.0,4.0,3.66,"University Of California, Irvine"
64,161.0,157.0,4.0,3.1,Boston University
203,154.0,170.0,4.0,3.38,Oregon State University
222,162.0,164.0,5.5,3.81,Stanford University
385,166.0,170.0,5.0,4.0,McGill University
391,165.0,162.0,5.5,3.65,University Of Texas At Austin
393,165.0,162.0,5.5,3.65,Columbia University
395,165.0,162.0,5.5,3.65,University Of Michigan
397,165.0,162.0,5.5,3.65,University Of Virginia
398,165.0,162.0,5.5,3.65,Carnegie Mellon University
402,157.0,161.0,4.0,3.2,University Of Texas At Dallas
420,169.0,166.0,4.0,3.74,New York University
466,165.0,167.0,5.0,3.63,University Of Southern California
475,151.0,165.0,4.5,3.98,Northeastern University
517,163.0,160.0,4.5,3.16,Tufts University
565,160.0,167.0,4.0,3.74,Iowa State University
582,143.0,142.0,0.0,2.9,Columbia University
583,162.0,160.0,0.0,3.4,North Carolina State University
584,167.0,170.0,5.5,3.62,University Of Southern California
629,164.0,164.0,4.5,3.15,American University
694,156.0,152.0,4.5,3.69,NCSU (North Carolina State University)
701,158.0,169.0,4.0,3.46,University Of Southern California
706,159.0,170.0,3.5,3.8,McGill University
771,161.0,154.0,3.5,3.69,"University Of Californa, Los Angeles (UCLA)"
855,155.0,158.0,4.0,3.28,"University Of California, Irvine"
872,170.0,170.0,0.0,4.0,Columbia University
873,170.0,170.0,0.0,4.0,Columbia University
874,159.0,162.0,4.5,3.68,Stanford University
875,165.0,163.0,5.0,3.52,Princeton University
968,148.0,168.0,3.5,3.44,University Of Wisconsin-Madison
1133,153.0,167.0,3.0,3.6,University Of Southern California
1146,152.0,169.0,3.5,3.45,Purdue University - West Lafayette
1155,161.0,166.0,3.5,3.88,Northwestern University
1156,161.0,166.0,3.5,3.88,"University Of Colorado, Boulder"
1193,160.0,157.0,4.0,2.0,Columbia University
1217,152.0,162.0,4.0,3.76,Northeastern University
1331,170.0,163.0,6.0,3.84,University Of Notre Dame
1332,153.0,145.0,3.5,3.2,Clemson University
1380,158.0,170.0,4.0,8.48,Northeastern University
1442,163.0,163.0,5.0,3.68,Stanford University
1472,164.0,164.0,4.0,3.94,University Of Wisconsin-Madison
1489,162.0,160.0,5.0,3.7,Princeton University
1493,158.0,161.0,4.5,3.6,University Of Michigan
1496,161.0,168.0,4.0,3.17,University Of Southern California
1529,161.0,158.0,4.0,3.1,Columbia University
1533,159.0,156.0,5.0,3.76,University Of Cincinnati
1540,155.0,147.0,3.5,3.67,University Of South Carolina
1595,170.0,167.0,4.5,3.6,Columbia University
1603,159.0,158.0,5.0,3.41,University Of South Florida
1628,161.0,167.0,4.0,3.3,University Of Southern California
1641,159.0,156.0,5.5,3.12,University Of South Florida
1644,160.0,156.0,4.0,3.51,University Of Minnesota
1664,154.0,157.0,4.5,3.62,Emory University
1691,165.0,170.0,5.0,4.0,New York University
1692,165.0,170.0,5.0,4.0,Columbia University
1775,167.0,170.0,4.5,3.72,Columbia University
1789,155.0,150.0,4.0,3.56,University Of Cincinnati
1822,154.0,159.0,4.0,3.12,University Of Southern California
1933,160.0,164.0,5.5,3.6,University Of Washington
1935,162.0,153.0,5.0,3.75,George Washington University
1971,170.0,169.0,6.0,4.0,University Of Toronto
2111,152.0,165.0,3.5,3.6,Arizona State University
2170,162.0,153.0,5.0,3.75,Boston University
2218,158.0,165.0,5.0,3.63,University Of Pennsylvania
2295,169.0,161.0,4.5,3.89,University Of Washington
2313,162.0,169.0,4.5,3.95,Carnegie Mellon University
2324,150.0,149.0,4.0,3.7,University Of Houston
2369,151.0,170.0,3.0,3.72,UC San Diego (UCSD)
2387,169.0,164.0,5.0,3.57,University Of Chicago
2388,151.0,161.0,4.0,4.0,Clemson University
2389,151.0,161.0,4.0,4.0,Colorado State University
2415,160.0,148.0,4.5,3.86,University Of Houston
2456,166.0,152.0,5.0,4.0,Harvard University
2486,156.0,158.0,4.0,3.8,Columbia University
2494,162.0,167.0,3.5,3.71,Oregon State University
2550,153.0,157.0,5.5,3.9,University Of Texas At Austin
2552,164.0,168.0,4.0,8.0,McGill University
2623,165.0,159.0,5.5,4.0,University Of Arizona
2709,152.0,141.0,3.5,3.0,Purdue University - West Lafayette
2749,154.0,157.0,4.5,3.96,University Of Washington
2847,150.0,156.0,4.0,3.9,University Of Kansas
2888,152.0,168.0,3.0,3.5,"University Of California, Irvine"
2889,168.0,152.0,3.0,3.5,"University Of California, Irvine"
2897,159.0,169.0,4.0,3.47,University Of Southern California
2899,159.0,170.0,4.5,3.94,University Of Michigan
2919,153.0,144.0,4.0,3.8,University Of Cincinnati
2969,157.0,170.0,4.0,3.8,"University Of Californa, Los Angeles (UCLA)"
2983,154.0,163.0,4.0,3.89,New York University
2984,166.0,159.0,5.5,3.92,Stanford University
2992,157.0,162.0,4.0,3.6,Texas A&M University
2995,157.0,162.0,4.0,3.6,University Of Arizona
3017,152.0,165.0,3.5,3.94,Oregon State University
3019,161.0,170.0,3.5,3.91,University Of Texas At Austin
3037,156.0,166.0,3.5,3.67,Arizona State University
3093,157.0,147.0,5.5,3.7,University Of Wisconsin-Madison
3124,161.0,162.0,4.5,3.27,University Of Florida
3126,165.0,165.0,5.0,3.8,"University Of California, Irvine"
3171,162.0,170.0,5.0,3.95,University Of Notre Dame
3176,158.0,168.0,5.0,4.0,University Of Texas At Austin
3181,158.0,166.0,4.0,3.42,University Of Notre Dame
3203,155.0,169.0,3.0,3.57,Rice University
3272,158.0,168.0,5.0,4.0,University Of Texas At Austin
3285,152.0,166.0,3.0,3.46,North Carolina State University
3299,165.0,165.0,4.5,3.9,Indiana University Bloomington
3314,163.0,170.0,4.0,3.8,Stanford University
3326,161.0,154.0,4.6,3.67,University Of Houston
3337,151.0,162.0,3.5,3.08,University Of Houston
3339,165.0,160.0,5.0,3.76,Vanderbilt University
3345,135.0,154.0,5.0,3.68,University Of Pennsylvania
3354,158.0,165.0,3.5,3.2,University Of Michigan
3355,153.0,163.0,4.0,3.18,"University Of Californa, Los Angeles (UCLA)"
3398,157.0,168.0,5.0,4.0,"University Of Californa, Los Angeles (UCLA)"
3501,157.0,164.0,4.0,3.57,Carnegie Mellon University
3575,160.0,160.0,0.0,4.0,Stanford University
3576,160.0,160.0,0.0,4.0,Stanford University
3581,168.0,150.0,5.0,4.0,University Of Virginia
3582,166.0,168.0,3.5,3.86,University Of Washington
3619,164.0,155.0,4.5,3.71,University Of Washington
3708,150.0,166.0,4.0,3.95,Northwestern University
3709,150.0,168.0,3.5,3.25,University Of Kentucky
3711,148.0,162.0,4.5,4.0,"University Of California, Davis"
3715,168.0,170.0,5.5,3.3,Princeton University
3742,160.0,170.0,4.0,3.91,University Of Illinois At Urbana-Champaign
3743,163.0,154.0,4.5,3.98,University Of Virginia
3750,158.0,170.0,3.0,3.9,Columbia University
3788,159.0,169.0,4.0,3.47,University Of Southern California
3831,155.0,163.0,3.5,4.0,University Of Cincinnati
3837,155.0,163.0,3.5,4.0,University Of Kansas
3867,161.0,170.0,4.0,3.93,McGill University
3934,155.0,167.0,4.5,3.4,Columbia University
3996,159.0,168.0,4.0,3.74,Northeastern University
4007,157.0,159.0,4.0,3.62,University Of Colorado Boulder
4010,161.0,169.0,4.5,3.78,Rutgers University
4021,157.0,161.0,5.0,3.96,Rice University
4023,158.0,160.0,3.5,3.01,Michigan State University
4037,164.0,167.0,5.0,3.87,Michigan State University
4123,165.0,169.0,5.5,3.95,University Of Michigan
4152,144.0,169.0,3.5,3.7,University Of Southern California
4155,165.0,167.0,4.5,3.79,UC San Diego (UCSD)
4158,161.0,169.0,4.5,3.5,University Of Utah
4178,155.0,142.0,3.5,3.51,University Of Georgia
4195,170.0,161.0,5.5,3.83,University Of Virginia
4210,151.0,165.0,4.0,3.84,Temple University
4225,166.0,169.0,5.0,3.7,University Of Washington
4258,151.0,155.0,4.0,3.7,UC San Diego (UCSD)
4265,161.0,168.0,4.5,9.99,University Of Michigan
4268,150.0,157.0,4.5,3.64,University Of Kansas
4301,163.0,151.0,5.0,3.63,University Of Virginia
4316,163.0,158.0,4.5,3.3,University Of Wisconsin - Madison
4408,159.0,170.0,4.0,3.56,Carnegie Mellon University
4437,151.0,161.0,5.0,3.93,University Of Arizona
4443,158.0,152.0,5.5,3.67,George Washington University
4450,159.0,164.0,5.0,3.6,Columbia University
4471,150.0,168.0,0.0,4.0,Duke University
4504,158.0,161.0,4.5,3.1,Cornell University
4513,162.0,170.0,5.0,3.8,Northwestern University
4530,163.0,165.0,4.5,4.0,Columbia University
4547,165.0,169.0,4.5,3.9,Columbia University
4552,150.0,149.0,3.5,3.1,University Of Texas At Dallas
4561,165.0,170.0,4.0,3.73,"University Of California, Davis"
4589,162.0,161.0,4.0,3.63,"University Of California, Davis"
4630,162.0,157.0,4.2,3.46,Northeastern University
4631,154.0,167.0,3.5,3.03,George Washington University
4638,145.0,167.0,3.0,3.65,University Of Houston
4644,169.0,163.0,5.5,3.68,Columbia University
4688,152.0,170.0,3.0,3.5,Clemson University
4704,155.0,163.0,3.5,4.0,University Of Virginia
4730,158.0,168.0,3.5,3.64,The University Of Chicago
4739,150.0,170.0,4.0,2.76,"University Of California, Irvine"
4742,148.0,168.0,3.5,3.44,University Of Wisconsin-Madison
4768,148.0,170.0,3.0,3.34,"University Of California, Irvine"
4830,163.0,170.0,4.0,4.0,University Of Michigan
4853,162.0,169.0,3.5,3.53,Columbia University
4862,150.0,170.0,3.5,3.8,University Of Florida
4883,170.0,169.0,5.0,3.57,University Of Utah
4928,167.0,170.0,5.5,3.62,Columbia University
4939,156.0,164.0,4.0,3.3,UC San Diego (UCSD)
4959,169.0,170.0,0.0,3.9,Columbia University
4984,144.0,168.0,4.0,3.28,University Of Colorado Boulder
4985,144.0,168.0,4.0,3.28,Purdue University - West Lafayette
4988,160.0,168.0,4.5,3.91,McGill University
5136,160.0,163.0,4.0,3.19,New York University
5148,157.0,160.0,3.5,3.98,UC San Diego (UCSD)
5149,162.0,152.0,4.0,3.1,"University Of California, Berkeley"
5162,167.0,157.0,4.5,3.48,Brown University
5176,162.0,170.0,5.0,3.9,University Of Wisconsin-Madison
5186,157.0,165.0,3.5,3.73,University Of Southern California
5207,151.0,154.0,5.0,3.85,Boston University
5209,159.0,170.0,4.0,3.58,University Of Wisconsin-Madison
5223,165.0,169.0,0.0,3.85,University Of Notre Dame
5231,166.0,152.0,5.0,4.0,University Of Pennsylvania
5249,154.0,170.0,0.0,3.94,Columbia University
5259,160.0,163.0,4.5,3.8,University Of Connecticut
5261,164.0,166.0,4.0,8.56,University Of Notre Dame
5276,154.0,170.0,3.5,4.0,"University Of California, Davis"
5319,155.0,170.0,3.5,3.7,McGill University
5402,155.0,167.0,3.5,8.55,"University Of California, Irvine"
5403,155.0,167.0,3.5,8.55,"University Of California, Irvine"
5445,165.0,169.0,4.5,9.8,University Of Southern California
5454,160.0,166.0,4.0,3.9,Syracuse University
5462,169.0,155.0,3.5,3.59,Rutgers University
5546,162.0,170.0,3.0,3.7,University Of Texas At Austin
5559,154.0,167.0,4.5,3.77,"University Of California, Berkeley"
5567,157.0,148.0,0.0,3.75,Indiana University Bloomington
5642,155.0,163.0,5.5,3.86,University Of Toronto
5660,152.0,167.0,4.0,3.3,University Of Washington
5678,155.0,169.0,4.0,3.85,"University Of California, Davis"
5705,165.0,157.0,4.0,3.88,University Of Michigan
5731,166.0,170.0,5.0,3.9,University Of Oxford
5738,169.0,160.0,5.5,3.85,Georgetown University
5740,169.0,160.0,5.5,3.85,Carnegie Mellon University
5742,169.0,160.0,5.5,3.85,University Of Chicago
5760,154.0,161.0,4.0,3.98,University Of Michigan
5791,168.0,170.0,5.5,3.33,Johns Hopkins University
5819,154.0,170.0,3.5,3.59,North Carolina State University
5866,152.0,167.0,3.5,3.75,Carnegie Mellon University
5897,163.0,170.0,0.0,4.0,University Of Pennsylvania
5900,157.0,170.0,4.0,3.84,University Of Pennsylvania
5945,170.0,170.0,5.0,3.92,Johns Hopkins University
6003,162.0,170.0,4.5,3.7,Carnegie Mellon University
6009,144.0,157.0,3.5,3.5,Michigan State University
6043,159.0,170.0,4.0,9.99,University Of Minnesota
6045,164.0,165.0,4.0,3.89,University Of Michigan
6051,157.0,167.0,3.5,3.71,University Of Oxford
6126,159.0,164.0,4.0,3.9,Carnegie Mellon University
6190,148.0,160.0,3.0,3.93,Carnegie Mellon University
6215,153.0,159.0,4.5,3.93,University Of Minnesota
6217,150.0,170.0,3.0,3.81,McGill University
6242,163.0,164.0,5.0,3.87,Johns Hopkins University
6340,152.0,152.0,4.5,3.9,University Of South Carolina
6354,154.0,163.0,4.0,3.89,Duke University
6362,153.0,158.0,3.5,2.25,Northwestern University
6452,160.0,167.0,3.0,3.87,"University Of Californa, Los Angeles (UCLA)"
6496,148.0,163.0,3.0,4.5,Northwestern University
6497,157.0,155.0,3.0,2.9,Cornell University
6504,158.0,164.0,5.0,3.91,Michigan State University
6547,159.0,169.0,4.0,3.62,University Of Arizona
6553,162.0,150.0,4.5,2.97,Emory University
6609,160.0,169.0,4.0,3.99,University Of Minnesota
6664,153.0,167.0,3.5,3.5,Ohio State University
6669,153.0,166.0,4.0,3.4,Ohio State University
6709,157.0,160.0,4.0,4.0,Columbia University
6720,155.0,169.0,3.5,3.6,Ohio State University
6734,159.0,162.0,4.0,3.19,Johns Hopkins University
6853,158.0,170.0,4.0,4.0,University Of Michigan
6905,159.0,166.0,4.5,3.86,University Of Michigan
6910,166.0,158.0,3.0,3.59,Columbia University
6914,162.0,170.0,4.0,3.98,Carnegie Mellon University
6942,152.0,167.0,4.0,3.3,"University Of California, Davis"
6955,152.0,155.0,0.0,3.5,Arizona State University
6965,151.0,170.0,3.0,3.72,Texas A&M University
6996,169.0,160.0,4.0,3.8,Brown University
7027,161.0,169.0,4.5,3.5,Boston University
7051,160.0,160.0,5.0,3.65,University Of Michigan
7061,162.0,170.0,4.5,3.6,University Of Michigan
7067,155.0,160.0,4.5,3.8,Indiana University Bloomington
7071,157.0,170.0,4.0,3.7,Purdue University
7075,166.0,170.0,5.0,3.84,Carnegie Mellon University
7110,168.0,167.0,5.5,3.85,Rice University
7136,154.0,168.0,4.0,3.6,University Of Rochester
7151,165.0,170.0,4.5,4.0,McGill University
7152,154.0,168.0,4.0,3.6,"University Of California, Davis"
