,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Stanford University,Civil & Environmental Engineering,MS,F11,Accepted,Postal Service,"(28, 2, 2011)",1298880000,3.85,720.0,800.0,3.5,False,,International with US Degree,"(1, 3, 2011)",1298966400,I am pretty sure they sent out letters last week.
1,University Of Washington - Seattle (UW),Mathematics Pure,PhD,F11,Rejected,E-mail,"(1, 3, 2011)",1298966400,3.6,530.0,800.0,4.0,False,660.0,American,"(1, 3, 2011)",1298966400,3 of 7 have rejected me.  I hope I get accepted somewhere.
2,University Of Washington,English,PhD,F11,Rejected,E-mail,"(28, 2, 2011)",1298880000,,,,,,,,"(1, 3, 2011)",1298966400,"Standard form letter; no pertinent information regarding applicant pool, etc."
3,George Washington University,Mathematics,PhD,F11,Accepted,E-mail,"(1, 3, 2011)",1298966400,,,,,,,International,"(1, 3, 2011)",1298966400,"regret to inform you that we are not able to offer you an award......
Does anybody get financial support?"
4,University Of Maryland (College Park),Computer Science,PhD,F11,,Other,"(1, 3, 2011)",1298966400,,,,,,,Other,"(1, 3, 2011)",1298966400,"Congrats to those who have been admitted! Any one else waiting to hear from UMD? I have not heard from them & neither the status has been updated in Testudo/ASF. What does that mean, is there still hope? Please help"
5,University Of Nebraska Omaha,Master Of Public Administration (MPA),MS,F11,Accepted,Website,"(1, 3, 2011)",1298966400,,,,,,,American,"(1, 3, 2011)",1298966400,
6,University Of Colorado Denver,Public Affairs,PhD,F11,Accepted,E-mail,"(28, 2, 2011)",1298880000,3.8,730.0,730.0,5.5,False,,American,"(1, 3, 2011)",1298966400,
7,Duke University Fuqua School Of Business,Strategy,PhD,F11,Rejected,Phone,"(28, 2, 2011)",1298880000,3.8,730.0,730.0,5.5,False,,American,"(1, 3, 2011)",1298966400,
8,Stanford University,Organizational Behavioranizational Behavior,PhD,F11,Rejected,E-mail,"(15, 2, 2011)",1297756800,3.68,730.0,730.0,5.5,False,,American,"(1, 3, 2011)",1298966400,
9,Marquette University,Philosophy,PhD,F11,Accepted,Phone,"(1, 3, 2011)",1298966400,,,,,,,American,"(1, 3, 2011)",1298966400,"Just got a very nice phone call from Vandevelde: offered admission with 5 years of full support, including some summer support."
10,Yale University,Biostatistics,PhD,F11,Rejected,Website,"(1, 3, 2011)",1298966400,,,,,,,International with US Degree,"(1, 3, 2011)",1298966400,
11,University Of North Carolina (UNC) Chapel Hill,Communication Disorders Speech Pathology,MS,F11,Rejected,E-mail,"(1, 3, 2011)",1298966400,,,,,,,,"(1, 3, 2011)",1298966400,
12,Brown University Graduate School,PRIME,MS,F11,Accepted,E-mail,"(1, 3, 2011)",1298966400,,,,,,,,"(1, 3, 2011)",1298966400,
13,University Of British Columbia (UBC),Public Health (Global Health),MS,F11,Accepted,E-mail,"(2, 2, 2011)",1296633600,,,,,,,International,"(1, 3, 2011)",1298966400,brrap.  Waiting on other schools.
14,Yale University,Biomedical Engineering,PhD,F11,Rejected,Website,"(1, 3, 2011)",1298966400,,,,,,,American,"(1, 3, 2011)",1298966400,2 first author papers and 24 months of research experience! They can kiss my ass. Bunch of fools.
15,Rutgers University-Newark,Criminal Justice,PhD,F11,Accepted,Phone,"(28, 2, 2011)",1298880000,,,,,,,International with US Degree,"(1, 3, 2011)",1298966400,
16,Rice Universiry,American History,PhD,F11,Rejected,Postal Service,"(1, 3, 2011)",1298966400,,,,,,,,"(1, 3, 2011)",1298966400,
17,University Of Chicago,Sociology,PhD,F11,Wait listed,E-mail,"(1, 3, 2011)",1298966400,,,,,,,American,"(1, 3, 2011)",1298966400,"Placed on a short wait-list. A POI at Chicago told me (off the record) that he thinks I'm at the top. If you've been accepted and you are not going, please let them know soon! I'm wait-listed at Princeton too and these freaking wait-lists are killing me!"
18,"University Of California, Los Angeles (UCLA)",Social Psychology,PhD,F11,Rejected,E-mail,"(1, 3, 2011)",1298966400,,,,,,,American,"(1, 3, 2011)",1298966400,Direct to website to view decision letter
19,University Of Pennsylvania (UPenn),Economics,PhD,F11,Wait listed,E-mail,"(28, 2, 2011)",1298880000,,,,,,,International,"(1, 3, 2011)",1298966400,
